---
title: 案例研究
---


此列表汇集了使用 LangGraph 的公司及其成功案例，均来自公开来源。如果您的公司使用了 LangGraph，我们非常希望您能分享您的故事并将其添加到列表中。我们也欢迎您基于其他公司的公开信息（如博客文章或新闻稿）提供更新。

| 公司 | 行业 | 使用场景 | 参考资料 |
| --- | --- | --- | --- |
| [AirTop](https://www.airtop.ai/) | 软件与技术（原生 GenAI）| AI 智能体浏览器自动化 | [案例研究，2024](https://blog.langchain.dev/customers-airtop/) |
| [AppFolio](https://www.appfolio.com/) | 房地产 | 领域特定任务 Copilot | [案例研究，2024](https://blog.langchain.dev/customers-appfolio/) |
| [Athena Intelligence](https://www.athenaintel.com/) | 软件与技术（原生 GenAI）| 研究与摘要 | [案例研究，2024](https://blog.langchain.dev/customers-athena-intelligence/) |
| [BlackRock](https://www.blackrock.com/) | 金融服务 | 领域特定任务 Copilot | [演讲分享，2025](https://youtu.be/oyqeCHFM5U4?feature=shared) |
| [Captide](https://www.captide.co/) | 软件与技术（原生 GenAI）| 数据提取 | [案例研究，2025](https://blog.langchain.dev/how-captide-is-redefining-equity-research-with-agentic-workflows-built-on-langgraph-and-langsmith/) |
| [Cisco CX](https://www.cisco.com/site/us/en/services/modern-data-center/index.html?CCID=cc005911&DTID=eivtotr001480&OID=srwsas032775) | 软件与技术 | 客户支持 | [演讲分享，2025](https://youtu.be/gPhyPRtIMn0?feature=shared) |
| [Cisco Outshift](https://outshift.cisco.com/) | 软件与技术 | DevOps | [视频故事，2025](https://www.youtube.com/watch?v=htcb-vGR_x0); [案例研究，2025](https://blog.langchain.com/cisco-outshift/); [博客文章，2025](https://outshift.cisco.com/blog/build-react-agent-application-for-devops-tasks-using-rest-apis) |
| [Cisco TAC](https://www.cisco.com/c/en/us/support/index.html) | 软件与技术 | 客户支持 | [视频故事，2025](https://youtu.be/EAj0HBDGqaE?feature=shared) |
| [City of Hope](https://www.cityofhope.org/) | 非营利组织 | 领域特定任务 Copilot | [视频故事，2025](https://youtu.be/9ABwtK2gIZU?feature=shared) |
| [C.H. Robinson](https://www.chrobinson.com/en-us/) | 物流 | 自动化 | [案例研究，2025](https://blog.langchain.dev/customers-chrobinson/) |
| [Definely](https://www.definely.com/) | 法律 | 领域特定任务 Copilot | [案例研究，2025](https://blog.langchain.com/customers-definely/) |
| [Docent Pro](https://docentpro.com/) | 旅游 | GenAI 嵌入式产品体验 | [案例研究，2025](https://blog.langchain.com/customers-docentpro/) |
| [Elastic](https://www.elastic.co/) | 软件与技术 | 领域特定任务 Copilot | [博客文章，2025](https://www.elastic.co/blog/elastic-security-generative-ai-features) |
| [Exa](https://exa.ai/) | 软件与技术（原生 GenAI）| 搜索 | [案例研究，2025](https://blog.langchain.com/exa/) |
| [GitLab](https://about.gitlab.com/) | 软件与技术 | 代码生成 | [Duo 工作流文档](https://handbook.gitlab.com/handbook/engineering/architecture/design-documents/duo_workflow/) |
| [Harmonic](https://harmonic.ai/) | 软件与技术 | 搜索 | [案例研究，2025](https://blog.langchain.com/customers-harmonic/) |
| [Inconvo](https://inconvo.ai/?ref=blog.langchain.dev) | 软件与技术 | 代码生成 | [案例研究，2025年](https://blog.langchain.dev/customers-inconvo/) |
| [Infor](https://infor.com/) | 软件与技术 | GenAI 嵌入式产品体验；客户支持；AI 助手 | [案例研究，2025年](https://blog.langchain.dev/customers-infor/) |
| [J.P. Morgan](https://www.jpmorganchase.com/) | 金融服务 | 特定领域任务 AI 助手 | [插播演讲，2025年](https://youtu.be/yMalr0jiOAc?feature=shared) |
| [Klarna](https://www.klarna.com/) | 金融科技 | 特定领域任务 AI 助手 | [案例研究，2025年](https://blog.langchain.dev/customers-klarna/) |
| [Komodo Health](https://www.komodohealth.com/) | 医疗健康 | 特定领域任务 AI 助手 | [博客文章](https://www.komodohealth.com/perspectives/new-gen-ai-assistant-empowers-the-enterprise/) |
| [LinkedIn](https://www.linkedin.com/) | 社交媒体 | 代码生成；搜索与发现 | [插播演讲，2025年](https://youtu.be/NmblVxyBhi8?feature=shared); [博客文章，2025年](https://www.linkedin.com/blog/engineering/ai/practical-text-to-sql-for-data-analytics); [博客文章，2024年](https://www.linkedin.com/blog/engineering/generative-ai/behind-the-platform-the-journey-to-create-the-linkedin-genai-application-tech-stack) |
| [Minimal](https://gominimal.ai/) | 电子商务 | 客户支持 | [案例研究，2025年](https://blog.langchain.dev/how-minimal-built-a-multi-agent-customer-support-system-with-langgraph-langsmith/) |
| [Modern Treasury](https://www.moderntreasury.com/) | 金融科技 | GenAI 嵌入式产品体验 | [视频案例，2025年](https://youtu.be/AwAiffXqaCU?feature=shared) |
| [Monday](https://monday.com/) | 软件与技术 | GenAI 嵌入式产品体验 | [插播演讲，2025年](https://blog.langchain.dev/how-minimal-built-a-multi-agent-customer-support-system-with-langgraph-langsmith/) |
| [Morningstar](https://www.morningstar.com/) | 金融服务 | 研究与摘要 | [视频案例，2025年](https://youtu.be/6LidoFXCJPs?feature=shared) |
| [OpenRecovery](https://www.openrecovery.com/) | 医疗健康 | 特定领域任务 AI 助手 | [案例研究，2024年](https://blog.langchain.dev/customers-openrecovery/) |
| [Pigment](https://www.pigment.com/) | 金融科技 | GenAI 嵌入式产品体验 | [视频案例，2025年](https://youtu.be/5JVSO2KYOmE?feature=shared) |
| [Prosper](https://www.prosper.com/) | 金融科技 | 客户支持 | [视频案例，2025年](https://youtu.be/9RFNOYtkwsc?feature=shared) |
| [Qodo](https://www.qodo.ai/) | 软件与技术（GenAI 原生）| 代码生成 | [博客文章，2025年](https://www.qodo.ai/blog/why-we-chose-langgraph-to-build-our-coding-agent/) |
| [Rakuten](https://www.rakuten.com/) | E-commerce / Fintech | Copilot for domain-specific task | [视频案例，2025年](https://youtu.be/gD1LIjCkuA8?feature=shared); [博客文章，2025年](https://rakuten.today/blog/from-ai-hype-to-real-world-tools-rakuten-teams-up-with-langchain.html) |
| [Replit](https://replit.com/) | 软件与技术 | 代码生成 | [博客文章，2024年](https://blog.langchain.dev/customers-replit/); [分会场代理故事，2024年](https://www.langchain.com/breakoutagents/replit); [炉边对谈视频，2024年](https://www.youtube.com/watch?v=ViykMqljjxU) |
| [Rexera](https://www.rexera.com/) | 房地产（GenAI 原生）| 特定领域任务 AI 助手 | [案例研究，2024年](https://blog.langchain.dev/customers-rexera/) |
| [阿布扎比政府](https://www.tamm.abudhabi/) | 政府 | 搜索 | [案例研究，2025年](https://blog.langchain.com/customers-abu-dhabi-government/) |
| [Tradestack](https://www.tradestack.uk/) | 软件与技术（原生GenAI）| 特定领域任务的Copilot | [案例研究，2024](https://blog.langchain.dev/customers-tradestack/) |
| [Uber](https://www.uber.com/) | 交通运输 | 开发者生产力；代码生成 | [插播演讲，2025](https://youtu.be/Bugs0dVcNI8?feature=shared); [演讲，2024](https://dpe.org/sessions/ty-smith-adam-huda/this-year-in-ubers-ai-driven-developer-productivity-revolution/); [视频，2024](https://www.youtube.com/watch?v=8rkA5vWUE4Y) |
| [Unify](https://www.unifygtm.com/) | 软件与技术（原生GenAI）| 特定领域任务的Copilot | [插播演讲，2025](https://youtu.be/pKk-LfhujwI?feature=shared); [博客文章，2024](https://blog.langchain.dev/unify-launches-agents-for-account-qualification-using-langgraph-and-langsmith/) |
| [Vizient](https://www.vizientinc.com/) | 医疗健康 | 特定领域任务的Copilot | [视频故事，2025](https://www.youtube.com/watch?v=vrjJ6NuyTWA); [案例研究，2025](https://blog.langchain.dev/p/3d2cd58c-13a5-4df9-bd84-7d54ed0ed82c/) |
| [Vodafone](https://www.vodafone.com/) | 电信通信 | 代码生成；内部搜索 | [案例研究，2025](https://blog.langchain.dev/customers-vodafone/) |
| [WebToon](https://www.webtoons.com/en/) | 媒体与娱乐 | 数据提取 | [案例研究，2025](https://blog.langchain.com/customers-webtoon/) |
| [11x](https://www.11x.ai/) | 软件与技术（原生GenAI）| 研究与合作 | [插播演讲，2025](https://youtu.be/fegwPmaAPQk?feature=shared) |
